Word,N,Mean,SD
battalion,24,2.416666667,1.863065885
battery,25,4.8,1.979057015
battle,28,3.892857143,2.16605608
battlefield,29,3.620689655,1.760961448
battlefront,26,3.076923077,1.937484491
battleground,25,3.28,1.814754345
battleship,25,4.36,1.933907961
bawl,26,1.846153846,1.566966692
bay,24,3.5,1.817786518
bayonet,24,4.916666667,1.529895327
bayou,23,3.217391304,1.832944024
bazaar,21,3.476190476,2.015416771
bazooka,24,5.041666667,1.899179838
be,23,1.652173913,1.525799214
beach,24,5.666666667,1.522773975
beachwear,23,6.304347826,0.926124997
beacon,24,3.041666667,2.01038968
bead,22,5.545454545,1.405000347
beaded,25,2.56,1.916594202
beagle,25,5.2,1.658312395
beaker,24,5.416666667,1.791687732
beam,24,3.625,1.689159812
beanpole,21,3.952380952,1.96153487
beanstalk,22,4.5,2.041241452
bear,23,3.608695652,1.777105165
beard,23,5.565217391,1.854382695
beardless,23,2.652173913,2.013786475
bearskin,26,4.230769231,1.839732422
beast,23,3.608695652,1.924462863
beat,25,2.76,2.259793501
beater,24,3.916666667,2.535258612
beating,24,2.25,1.700383588
beau,24,3.416666667,2.320357294
beautician,23,4.608695652,1.900696773
beautiful,24,1.875,1.541103501
beauty,25,2,1.58113883
beaver,23,3.826086957,2.348155445
because,24,1.541666667,1.559798389
bed,25,6.36,1.319090596
bedclothes,24,5.708333333,1.601063958
bedfellow,22,3.954545455,2.058137686
bedpost,26,5.346153846,1.765045216
bedrock,24,2.916666667,1.931808494
bedroom,24,5.708333333,1.232853412
bedside,25,4.24,2.126812952
bedspread,25,6.08,1.55241747
bee,23,4.130434783,2.341412701
beech,18,3.5,1.886484437
beef,28,5.714285714,1.536160265
beefcake,24,4.458333333,1.99954705
beefsteak,22,5.227272727,1.823962671
beehive,23,3.608695652,1.777105165
beep,25,1.84,1.434108318
beer,24,5.791666667,1.382473104
beet,25,5.32,1.62583312
beetle,24,5.166666667,1.948615265
before,24,1.5,1.444630237
beg,23,1.695652174,1.743423555
beggar,25,4.28,1.882374387
begin,24,1.375,1.055523773
beginning,21,1.571428571,1.164964745
behead,23,2.260869565,2.027479207
behind,24,2.25,2.090350501
beige,24,1.916666667,1.612900888
belch,24,3,2.186917624
belief,24,2,1.769303474
bell,25,5.76,1.234233905
bellboy,25,4.8,1.554563176
belle,27,2.703703704,1.68282763
bellflower,21,4.428571429,1.748468718
bellhop,26,4.115384615,2.026364687
bellman,25,4.32,1.973153145
belly,26,5.846153846,1.515052677
belong,25,1.64,1.496662955
belongings,23,5.173913043,2.228986193
below,25,1.4,0.816496581
belt,21,5.80952381,1.569045813
belted,21,2.619047619,1.716863142
bench,24,6.166666667,1.274044115
bend,23,2.217391304,1.677566466
beneath,24,1.708333333,1.517411029
bent,23,1.869565217,1.099766414
benzene,12,3.083333333,1.729862492
bequeath,24,1.958333333,1.488482351
beret,23,5.695652174,1.635814576
berry,21,5.523809524,1.860619456
beside,27,1.925925926,1.752491104
bet,24,2.375,1.714706211
better,24,1.25,0.607918759
betting,24,2.666666667,1.632993162
between,25,1.76,1.588500341
beverage,24,6.208333333,0.883627241
bib,24,5.375,1.555145736
bible,23,5.826086957,1.800307396
bibliography,24,3.125,1.776966149
bicarbonate,22,2.772727273,1.900672016
bicep,27,5.666666667,1.687054785
bicycle,25,6.08,1.115048579
bid,29,2.275862069,2.015946281
bifocal,20,4.9,1.774082417
bifocals,24,5.875,1.361345243
big,26,2.653846154,2.481004759
bigot,21,3.238095238,1.89485519
bike,25,6.48,0.962635272
bile,22,3.590909091,1.763629669
bill,27,5.111111111,1.948043068
billboard,27,3.592592593,2.098703982
billfold,27,5.444444444,2.044379412
billiard,23,3.913043478,1.755848499
billiards,27,4.925925926,1.662387669
bin,23,5.260869565,1.763709709
bind,25,3.2,1.936491673
binding,24,2.791666667,1.84105751
binge,24,1.916666667,1.691838893
bingo,23,3.608695652,2.061313139
binoculars,25,6.16,1.143095213
biographer,28,4.214285714,1.812653934
biologist,25,4.48,1.939071943
biophysicist,23,3.739130435,1.789296238
birch,23,3.086956522,1.806881882
bird,29,4.896551724,1.915068585
birdbath,24,4.916666667,1.665941871
birdie,28,4.25,1.897854539
birdseed,23,5.739130435,1.684620036
birth,24,2.208333333,1.768791449
birthday,26,1.576923077,0.986836437
birthmark,24,4.333333333,1.785610763
biscuit,28,5.964285714,1.231745009
bison,23,3.434782609,2.27288537
bisque,25,4.28,2.031419865
bistro,27,4.518518519,1.672638872
bit,25,2.68,1.725301906
bitch,24,2.833333333,1.809796209
bite,25,3.72,2.541653005
bitter,23,2.434782609,2.170590346
black,22,1.772727273,1.659943148
blackberry,24,5.416666667,1.767254482
blackbird,27,3.444444444,1.98713813
blackboard,28,5.392857143,1.640670272
blackhead,23,4.739130435,1.657418346
blackheads,23,4.260869565,2.004934624
blackjack,25,2.36,1.680277755
blacksmith,26,3.846153846,1.953300954
bladder,25,4.24,2.184795948
blade,24,5.833333333,1.340560125
blame,27,1.740740741,1.654657589
bland,25,1.72,1.242309677
blank,27,1.777777778,1.804552647
blanket,25,6.56,0.583095189
blast,24,1.708333333,1.082636342
blaze,27,2.666666667,1.818706218
blazer,23,5.652173913,1.747951935
bleach,25,5.32,1.842100251
bleached,26,1.961538462,1.535728341
bleacher,24,5.083333333,1.815792237
bleaching,25,2.4,1.707825128
bleak,24,1.75,1.326977605
bleat,22,1.545454545,1.335496081
bleating,20,1.4,0.940324692
bleed,25,3.64,2.497999199
bleep,24,1.458333333,0.931532943
blemish,23,3.739130435,1.789296238
blend,23,1.956521739,1.551487874
blender,23,5.739130435,1.57299342
bless,24,1.291666667,0.907896119
blight,22,1.909090909,1.411149174
blimp,26,3.769230769,2.268174461
blind,25,2.2,1.848422751
blindfold,24,5.125,1.825245665
blindfolded,24,2.583333333,1.909169331
blindness,23,2.304347826,1.844766125
blink,24,3.166666667,2.461294581
blinked,23,2.652173913,2.347313661
blinks,24,1.958333333,1.601063958
bliss,27,1.814814815,1.664956387
blister,25,5.2,1.755942292
blitz,23,1.52173913,1.23838477
blizzard,25,3.48,1.82847842
bloat,24,2.333333333,1.809796209
blob,29,3.75862069,1.95768034
block,29,5.413793103,1.783200201
blockade,25,2.96,1.813835715
blockage,25,2.48,1.357694124
bloke,24,4.541666667,1.614584794
blond,23,2.347826087,1.873467753
blonde,25,3.8,2.380476143
blood,25,5.32,1.519868415
bloodhound,24,4.833333333,2.014440621
bloodshed,25,2.48,1.82847842
bloodshot,23,1.739130435,1.51409713
bloodstain,23,3.695652174,1.490417349
bloodstained,25,2.6,1.5
bloodstream,23,2.739130435,1.657418346
bloodsucker,25,2.88,2.027313493
bloody,23,1.869565217,0.919700931
bloom,27,2.703703704,1.957526202
bloomers,25,4.4,2
blooming,23,1.652173913,1.228772323
