Word,Mean,SD,Median,Min,Max,N
anthrax,2.6842105263157894,2.2620696417943202,1,1,7,19
anthropologist,4.428571428571429,2.270934357735348,4,1,7,21
antiaircraft,2.55,1.700619082322051,2,1,7,20
antibiotics,1.8181818181818181,1.7630159126409235,1,1,7,22
antichrist,4.0476190476190474,2.334013506306047,5,1,7,21
anticipate,3.409090909090909,2.1965143579488218,3,1,7,22
antics,4.181818181818182,2.0847830453839427,4,1,7,22
antidote,2.260869565217391,1.8639496507135747,1,1,7,23
antiques,2.3636363636363638,1.9406786870148718,1,1,7,22
antiseptic,1.7826086956521738,1.5654369630794764,1,1,7,23
antisocial,5.363636363636363,2.401298350108492,7,1,7,22
antsy,3.95,1.8488972531299783,4,1,7,20
anus,2.409090909090909,1.8428521091243042,1.5,1,7,22
anxiety,5.25,1.5673294928413855,5.5,2,7,24
anxious,5.083333333333333,1.9318084941243567,5.5,1,7,24
apartment,3.8333333333333335,1.7904977947322853,4,1,6,18
apartments,5.590909090909091,1.7636296692870674,6,1,7,22
apathy,5.095238095238095,2.047065262876636,6,1,7,21
apex,2.238095238095238,1.220850601210562,2,1,5,21
aphrodisiac,4.7727272727272725,2.0220644373373933,5,1,7,22
apocalypse,4.478260869565218,2.2936585546278225,4,1,7,23
apologetic,5.315789473684211,1.6004385363930504,5,2,7,19
apologize,5.043478260869565,1.821045176154847,5,1,7,23
apology,5.590909090909091,1.7087754152940695,6,2,7,22
apostle,4.7272727272727275,1.8817878576304878,5,2,7,22
apparatus,2.6,2.1618705350983247,1,1,7,20
apparel,3.6666666666666665,2.200131748360749,4,1,7,24
apparent,2.6666666666666665,1.551063216458077,3,1,5,24
apparition,2.888888888888889,1.9369135207665067,2,1,7,18
appeal,4.608695652173913,2.0832476925744094,5,1,7,23
appear,3.347826086956522,2.013786475369086,3,1,7,23
appearance,5.318181818181818,1.7011582507043235,6,1,7,22
appease,4.809523809523809,1.8335497707738293,5,1,7,21
appendage,1.9047619047619047,1.220850601210562,1,1,5,21
appendectomy,2.8421052631578947,2.3157230187168767,1,1,7,19
appetite,3.1904761904761907,1.9904534061124772,3,1,6,21
appetizer,3.3,2.0545200489600846,3,1,7,20
applaud,5.9,1.3337718577107003,6.5,3,7,20
applause,5.608695652173913,1.9006967725925863,7,1,7,23
apple,1.9090909090909092,1.770366949024731,1,1,7,22
appliance,3.217391304347826,2.1523036651907823,2,1,7,23
applicant,5.25,1.6503588126605426,5.5,1,7,20
application,3.4,1.7320508075688772,3,1,6,25
apply,3.44,1.6852299546352716,4,1,7,25
appoint,4.565217391304348,1.7793279363676444,5,1,7,23
appointment,5.6,1.6982963599783725,6,2,7,20
appraisal,4.909090909090909,1.874873733122184,5.5,1,7,22
appreciative,4.75,2.111047545445255,5,1,7,24
apprehend,4.173913043478261,1.8003073957987255,4,1,7,23
apprentice,5.619047619047619,1.774153050787628,6,2,7,21
approach,4.105263157894737,2.233451162118225,4,1,7,19
approval,5.521739130434782,1.7286243931201823,6,1,7,23
approve,4.35,1.6630662866176473,5,1,6,20
apricot,1.5714285714285714,1.468721504282843,1,1,7,21
apron,1.5714285714285714,0.870139561876632,1,1,4,21
apt,3.55,1.9594574974238472,3.5,1,7,20
aptitude,3.409090909090909,2.062340115802132,3.5,1,7,22
aquarium,2.260869565217391,1.8881783261398664,1,1,7,23
aquatic,1.84,1.34412301024373,1,1,7,25
arbitrary,3.8636363636363638,2.3154852324020254,4,1,7,22
archaeological,3.5714285714285716,2.2264642052238024,4,1,7,21
archaeologist,4,1.9493588689617927,4,1,7,21
archaeology,3.4347826086956523,2.2927967629180372,3,1,7,23
archaic,2.6,1.500876936643164,2,1,5,20
archangel,2.8,2.2384204957490614,1.5,1,7,20
archduke,3.736842105263158,2.513123449750173,4,1,7,19
archery,3.3333333333333335,2.1525179054617256,3,1,7,21
architect,4.333333333333333,1.798147194568157,4,1,7,21
architectural,3.16,1.972308292331602,3,1,6,25
architecture,3.2,2.142305693455191,3,1,7,20
arctic,1.8695652173913044,1.4864340436117256,1,1,7,23
argue,6.291666666666667,1.5457984194658723,7,1,7,24
argument,6.478260869565218,0.8458220969937152,7,4,7,23
arise,2.619047619047619,1.8296499795368095,2,1,7,21
aristocracy,5.3478260869565215,2.080399779154651,6,1,7,23
aristocrat,5.761904761904762,1.300183137283433,6,2,7,21
arithmetic,2.3636363636363638,1.5597757636597747,2,1,6,22
armada,4.888888888888889,2.4226599112858644,6,1,7,18
armory,3.35,1.954078056944394,3,1,7,20
armpit,2.3043478260869565,2.2040207598571806,1,1,7,23
arouse,5.380952380952381,1.716863141784763,6,2,7,21
arraignment,4.45,1.8771478925557026,4.5,1,7,20
arrange,3.4761904761904763,1.8873009198071096,4,1,7,21
array,2.3636363636363638,1.5597757636597747,2,1,6,22
arrival,3.3684210526315788,1.8918106058538346,3,1,7,19
arrive,3.6363636363636362,2.1502038562370367,3.5,1,7,22
arrogance,4.72,2.131509637166422,5,1,7,25
arrogant,4.739130434782608,1.8639496507135747,5,1,7,23
arsenic,2.3181818181818183,1.5852403644201762,2,1,6,22
arson,3.6666666666666665,1.9578900207451218,4,1,7,21
art,4.409090909090909,1.7636296692870674,5,1,7,22
artery,2.3043478260869565,1.5502135515263593,2,1,7,23
arthritis,2.9047619047619047,1.9210612146613628,2,1,6,21
artichoke,1.9545454545454546,1.5576928215816257,1,1,7,22
article,3.0833333333333335,2.1852602405298507,3,1,7,24
artifact,3.0869565217391304,2.172410547970343,3,1,7,23
artificial,3.1578947368421053,2.0347852164769096,3,1,7,19
artillery,3.909090909090909,1.973855084879307,4,1,7,22
artist,6.190476190476191,1.2090925365350502,7,3,7,21
artistic,4.478260869565218,2.04204810773603,5,1,7,23
artistry,5.181818181818182,1.8422647458873531,5.5,1,7,22
ascend,4.095238095238095,1.841324574993825,4,1,7,21
ascending,2.5217391304347827,1.7286243931201823,2,1,7,23
ascension,3.3043478260869565,1.5206094056091055,4,1,6,23
ascertain,3.5,1.6681153124565982,3.5,1,7,24
ask,4.954545454545454,2.1486933510585255,5,1,7,22
asparagus,1.3478260869565217,0.7751067757631797,1,1,4,23
aspect,2.52,1.610382977224155,2,1,7,25
asphalt,1.36,0.8103497187428812,1,1,4,25
aspiration,4.541666666666667,2.105462185481552,5,1,7,24
aspire,3.652173913043478,1.9681254499043663,4,1,7,23
assailant,5.041666666666667,2.01038968030247,5,1,7,24
assassin,3.9583333333333335,2.1564698743178816,4,1,7,24
assassinate,5.2727272727272725,2.1642510676866222,6,1,7,22
assassination,5.391304347826087,1.9940623322705429,6,1,7,23
assault,5.454545454545454,1.9694638556693238,6.5,1,7,22
assembly,4.304347826086956,2.3244702741347263,4,1,7,23
assemblyman,4.92,2.177919496522618,5,1,7,25
assert,4.75,2.2448772091610105,5,1,7,20
assertive,4.25,1.9159991209755154,4.5,1,7,20
assess,2.652173913043478,1.8975749033526956,2,1,7,23
assessment,4,2.0851441405707476,3.5,1,7,24
asset,3.0476190476190474,1.716863141784763,3,1,7,21
asshole,5.391304347826087,1.7513405368143935,6,2,7,23
assign,4.095238095238095,1.9469145308606104,5,1,7,21
assignment,4.136363636363637,2.1223404543873268,4,1,7,22
assimilate,4.826086956521739,2.2893463519894905,5,1,7,23
assist,5.958333333333333,1.082636342118332,6,4,7,24
assistance,5.363636363636363,1.9650628136199264,6,1,7,22
associate,5.608695652173913,1.9006967725925863,6,1,7,23
assorted,2.652173913043478,2.1660331495023533,1,1,7,23
assortment,3.3181818181818183,2.0560332505270256,3,1,7,22
assume,3.0434782608695654,1.8458371067095625,3,1,7,23
assumption,3.4,1.9029063643750177,3.5,1,7,20
assurance,3.95,2.0124611797498106,4,1,7,20
assure,4.130434782608695,1.96108383359089,5,1,7,23
asterisk,1.4545454545454546,1.0107645728086347,1,1,5,22
asteroid,1.4166666666666667,1.017954755408103,1,1,5,24
asthma,3.0952380952380953,1.9469145308606104,3,1,6,21
asthmatic,3.227272727272727,2.1587434215703265,3,1,7,22
astonish,4.142857142857143,1.6818357317441643,4,1,7,21
astound,4.476190476190476,1.6618979396776332,5,1,7,21
astral,2.5555555555555554,1.464168996281919,2,1,6,18
astrology,3.090909090909091,1.7970635017820682,3,1,6,22
astronaut,4.318181818181818,1.9612038003023413,5,1,7,22
astronomer,4.2272727272727275,2.1141657857644396,4.5,1,7,22
astronomical,2.4347826086956523,1.6740285366450525,2,1,7,23
astronomy,2.5,1.933683126777138,1.5,1,7,24
astute,4.428571428571429,2.0873770280289223,5,1,7,21
atheist,4.444444444444445,2.064325049137546,5,1,7,18
athletic,4.7272727272727275,1.8817878576304878,5,1,7,22
athletics,5.086956521739131,1.7558484993213879,5,1,7,23
atlas,2.8333333333333335,2.057154359296116,2,1,7,24
atmosphere,3.3181818181818183,2.233646679575239,3,1,7,22
atmospheric,2.4782608695652173,1.997033372903447,1,1,7,23
atom,1.6956521739130435,1.3629774429099781,1,1,7,23
atomic,2.3181818181818183,1.835791347111613,1.5,1,7,22
atone,3.857142857142857,1.8516401995451028,3,1,7,21
atrocious,3.4782608695652173,2.2536750838129285,3,1,7,23
atrocity,4.7368421052631575,2.181796030367792,5,1,7,19
attach,3.772727272727273,2.1365708658818376,4,1,7,22
attachment,4.136363636363637,2.6239819712188166,4.5,1,7,22
attain,3.5833333333333335,2.1041711508059553,3.5,1,7,24
attempt,3,2.0275875100994063,2,1,7,19
attend,5.76,1.588500340992514,6,2,7,25
attendance,5.090909090909091,1.715728108915554,5,1,7,22
attendant,5.7,1.3416407864998738,6,3,7,20
attention,4.666666666666667,2.1984843263788196,5,1,7,21
attentive,5.5,1.6832508230603465,5.5,1,7,22
attest,4.05,1.6693837501494848,4,1,6,20
attic,2.347826086956522,2.1449453405236207,1,1,7,23
attire,3.6818181818181817,2.0790648913660252,4,1,7,22
attitude,4.782608695652174,1.9530051840719362,5,1,7,23
attract,5.181818181818182,1.8162327215148666,5,1,7,22
